tweet_id,content,class

1829227621064028389,"Since you have a concrete evidence with you , contact     they ’re web3 / web2 and blockchain agent developer who helped me recover mine when I had similar issues",POSITIVE

1829227621030461837,"RT : A loyal token on the Ethereum $ ETHDOG network , fetching gains and bringing the best of crypto to your w …",POSITIVE

1829227620967604726,Does anybody believe any more that the government in Colorado cares about the people that are legal and from America . Does n't look like it to the rest of us https://t.co/NiEAgJm3SZ,POSITIVE

1829227620929786111,I do n't believe for one minute that she was close enough to either one of her grandma 's to be taught ANY recipes  No way she cooks ANY meals for Harold or them kids ! No way .  She 's probably never made a meatloaf or potato salad or cornbread ( our supper tonight ),POSITIVE

1829227620711706729,The secret to success lies in constant improvement . Never stop achieving and do n't be afraid to step out of your comfort zone .  # Motivation # Success # StepToDream https://t.co/7q4FGwNq96,POSITIVE

1829227620237521002,RT : Tony Robbins : “ if you tell a lie big enough … sooner or later people start to believe it ”  “ You know who said that ? ”  “ Hitler ” …,POSITIVE

1829227619939742201,RT : Ready to break free from the old financial system ? swoop into this essential video thread on crypto . Whether you 're jus …,POSITIVE

1829227619864457720,RT : Let the record reflect that Ed Krassenstein is contractually obligated to say he trusts the FBI because in 2018 they seized $ 4 …,POSITIVE

1829227619281494053,Bitch I 'm as far from a soy boy as you can possibly get I 'm actually Republican to the bone I believe that less government is better government and cops are part of the government whether it be federal state or local and they need their immunity stripped,POSITIVE

1829227981929406484,project with big potential . The team 's dedication and ingenuity with excellent fan support will make this the envy of the crypto world . Glad to be part of this .    https://t.co/zcixVhEwt7,POSITIVE
1829227981887492404,RT : Update ( ETH ) $ EthDog  Following meta . Pinned in chat earlier . Recovering from dip . Riskier Degen . Dyor …,POSITIVE
1829227980478189709,"RT : Despite an entire ecosystem working against him , # GautamAdani and his family have secured the No . 1 spot in the 2024 Hurun Ind …",POSITIVE
1829227979823620597,"A lot of my Followers said   I have been making alot of profit from the Crypto and I refuse to share my trading thoughts .  So I start a top learning course for free , simple click and say Hi on telegram   https://t.co/qxRkhG9Sk6",POSITIVE
1829227979500614026,RT : 6 months ago this ngga claimed he was gon na die alone . She really changed your life lmaooooo  Growth & gt;&gt;&gt;&gt ;,POSITIVE
1829227979433750659,"RT : Introducing $ ETHDOG – a trusted token on the Ethereum blockchain , crafted to deliver outstanding reward …",POSITIVE
1829227979182092615,RT : BIG NEWS Olympic Medalist Swapnil Kusale calls for the growth of Hindu Nation  Many will be hurt with this commen …,POSITIVE
1829227978900811921,"RT : Let this sink in .   The same POTUS candidate who says he will bring back law and order , BROKE THE FUCKIN LAW THIS WEEK . …",POSITIVE
1829227978817216551,This is all while i m in school . By the time my degree is completed my portfolio will be BIGGGGG .,POSITIVE
1829227978313933095,RT : # SHIB is the legendary sheriff of wild crypto ! Protects and pioneers Memecoins !  WILD WILD SHIB ! https://t.co/LGOTkxatPK,POSITIVE
1829227977969701237,BIG BREAKING UBER CEO WANTS TO ACCEPT # BITCOIN & amp ; CRYPTO AS A PAYMENT METHOD # BITCOIN https://t.co/xzzAos02Fw,POSITIVE
1829227977869299961,"I 'll advise you reach out to for help with your withdrawal , he helped me with mine and I got my crypto out a while ago  Message him now for help getting your assets out too",POSITIVE
1829227977848352769,RT : I ’m so proud and honored to be able to love you and to witness your beautiful growth on this path . Thank you for being y …,POSITIVE
1829227977651171483,RT : That one   # crypto that ’s about to go interstellar _ _ _ _ _ _ _ _ _ https://t.co/FiPmcDt65B,POSITIVE
1829227977357570087,"RT : the broke girls are watching , blow up my throne to make them cry  and a reminder i stay in a mansion whenever i want whil …",POSITIVE
1829227977286242653,RT : Allo founder speaking on the power of Real World Assets .    RWAs enable programmability on the blockchain . Allo is …,POSITIVE
1829227977273463282,Nicee,POSITIVE
1829227977051160586,RT : I need legit updates abeg  Fraud don tire me .  Tech and Crypto boys abeg i need una help,POSITIVE
1829227976829087968,"RT : Imma fuck a nigga feel me ,  Imma do a broke nigga filthy  https://t.co/Tqu4PnzbQa https://t.co/UGrHckZx5U",POSITIVE
1829227976086769934,RT : Kitsune is at your side Broskie .  The $ KIT community wants as many projects as possible to succee …,POSITIVE
1829227976086728946,"RT : # XAUUSD # crypto # BTC  # englot  TELEGRAM Signals  ️Daily , No Fees and free lifetime  Join https://t.co/KoBZI4vVCp  …",POSITIVE
1829227975927312490,"I 'm broke ? ? Shit no one told me till now ! lol . Of course people know the stress of running a business , but that does n't mean you 're innately smart ! You can have a good sense of the future but he nearly went broke with both Tesla AND SpaceX. And Twitter is worth & lt;70 % less now bud .",POSITIVE
1829227975872786624,"RT _ : Unlock a Borderless Future !  Dive into # WorldAssets , where real - world assets meet blockchain magic . Say goodbye to limi …",POSITIVE
1829227975369179399,RT : WE ARE CHAMPION ! !  We Did It ! Cat Gold Miner Claims Top Spot at The Open League Hackathon !  We 're absolutely ecstati …,POSITIVE
1829227975151174120,RT : # FREEDUROV ,POSITIVE
1829227974740324624,https://t.co/GWNLyUWgiD,POSITIVE
1829227974526181494,RT : TIEstaysON and we are excited to announce partnering up with _ for our future growth on ecosystem ! Our ATM raid …,POSITIVE
1829227974413169067,RT : $ 500 Giveaway Alert ! Deepcoin x Celebrate Korea Blockchain Week !  Join us for an unforgettable afterpar …,POSITIVE
1829227974291534102,"1  Moody ’s raises India ’s 2024 GDP growth view to 7.2 % , from 6.8 % earlier and 2025 GDP growth view to 6.6 % , from 6.4 % earlier .  Cuts India 's 2024 CPI Inflation forecast to 5.0 % from 5.2 % . Retains India 's 2025 CPI Inflation forecast at 4.8 % .",POSITIVE
1829227974199259433,RT : The roadmap $ QF just dropped today if one of the most detailed ones I have ever seen .   Just read the MEDIUM and you will …,POSITIVE
1829227974195065291,"RT : $ COLON is the Father of Doge . Since Doge came first on blockchain , so Colon is the precedent of all do …",POSITIVE
1829227973796323374,RT : Surge into success with this crypto power station ! $ Gagain Brace for a surge of energy that wi …,POSITIVE
1829227973402141178,Drop a message on my premium telegram chat . I 'll be sharing some analysis on the # ETF and # BTC trade with a new strategy to profit from the Crypto market Trade !     https://t.co/CCQDxMPXTd,POSITIVE
1829227973066490064,RT : New Project Alert  Introducing DOX SQUAD a crypto project exposing dishonest developers and promoting transparen …,POSITIVE
1829227971716042972,"RT : Introducing RWAfi - because RWAs are dry , and even the acronym is hard to understand .  It 's time for a change .  Let 's fac …",POSITIVE
1829227971703644297,Just over 14 weeks left until my show - plenty of work to be done until December 7th  .  .  .  .  .  .  # bodybuilding # gym # fitness # personaltrainer # npc # illinois # veteran # heavyweight # pose # muscle # motivation # transformation # progress https://t.co/FAs5URwts9,POSITIVE
1829227971678531686,RT : The best kept secret in Crypto is $ XAI staking .  Here are the estimated reward rates for the top 3 pools and how much capac …,POSITIVE
1829227971661676615,"There always feels a need to innovate and change . Sometimes I like it , like with upgrading perks in Cold War which stayed as a permanent change when unlocked . Gave a fun grind and made you more OP through time . Some things are perfect as they are and should be left alone",POSITIVE
1829227971476910337,RT : 20 Mindset Shifts that will catapult your Business Growth :  [ bookmark to stay on top ] https://t.co/PXTqJeig5 g,POSITIVE
1829227971342655889,"All they do is say their net worth is so high , they 're all so wealthy  They even have 200 million but ca n't afford a modern 30 million home  Pretending that it 's not their style  Broke idiots",POSITIVE
1829228572319592743,"The Guardian ’s demographic .  They ruin everything- arts , culture ..  Programmed robots .  Cold .  They hate and fear working class directness and passion .",NEGATIVE
1829228571598127574,"RT : If you 're just interested in misleading people , ignore this . For everyone else :  The proposal applies ONLY to household …",NEGATIVE
1829228568938975454,"Disclaimer : I 'm an essential worker in the O&amp;G field . I was out in it during the times millions were cowering behind closed doors while being masked .  During that time , I watched coworkers die from covid .  I have comorbidities , so I VOLUNTARILY took the shots and one booster , … https://t.co/zbFn763qEz",NEGATIVE
1829228567030575398,RT _ : JD and Trump are bought and paid for by anti - worker billionaires https://t.co/pKxt6FWByO,NEGATIVE
1829228565704986684,RT _ : JD and Trump are bought and paid for by anti - worker billionaires https://t.co/pKxt6FWByO,NEGATIVE
1829228561624072215,"I do n't believe Garland will ever actually do his job as it is far more important to him to protect his job . Holding high profile "" billionaires "" accountable is n't really his thing .",NEGATIVE
1829228561443836081,"90s Democrats , who were more aggressive on illegal immigration than the # GOP back in the 90s . At the time , those Republicans kind of liked having ( illegally ) cheap labor .  Now the train is off the rails ! Dems want UNLIMITED illegal immigrants to take Unlimited Power forever .",NEGATIVE
1829228552430203332,"i just got told i ’m having to work labor day , ARE YOU KIDDINGGGGGGGGG",NEGATIVE
1829228550525964397,RT _ : JD and Trump are bought and paid for by anti - worker billionaires https://t.co/pKxt6FWByO,NEGATIVE
1829228550055977224,"Clarence Dillion Library will be sponsoring a Sports Safety Webinar on Tuesday , September 10 , 2024 , at 12 PM .   https://t.co/y47wfdc8ID",NEGATIVE
1829229288794796172,"Good working class lads accustomed to the good life wanting a pay day , seated prices r decent but £ 150 makes it hard not to look like a cash grab , literally making millions",NEGATIVE
1829229282641474035,RT : For billionaires living like kings through their companies while paying less in personal income tax than …,NEGATIVE
1829229281672867946,JD Vance booed during firefighters union speech in which he asked members what have Democrats ' gotten you ' ?  https://t.co/mCdNtsnQlc,NEGATIVE
1829229281232191557,RT : BREAKING  Biden was laying in a beach at a billionaires house .  Google maps could n’t find Harris . Yall …,NEGATIVE
1829229280867561550,Bandai printed Union Arena so truee,NEGATIVE
1829229279013695530,RT : Scrapping pensioners ’ winter fuel payments  Banning smoking in outdoor social spaces  Raising taxes after promising not t …,NEGATIVE
1829229278858448939,"RT : .@JDVance : "" A lot of Democrats call us populists like it 's something on an insult . But if being a populist means being on …",NEGATIVE
1829229276777873674,"RT : You will never see that mfker on a boat , think about how billionaires use megayachts now for d*ck measuring contests yet he …",NEGATIVE
1829229276563923250,"The Democrats at the DNC were a bizarre coalition of socialists and billionaires , pro - cop , anti - cop , all kinds of people . But just one group was left out : pro - Palestinians .  John Stewart Just ENDED Kamala ’s CAREER ! ! ! ( https://t.co/RDP69ORoMz )",NEGATIVE
1829229274949398886,"RT : Every time I see their car , an officer , a station I get so angry because the billions they 're wasting could be used for the wo …",NEGATIVE
1829229273233940868,"RT : British Nationalism , Nepotism , Cronyism , Privilege , and UK Archaic Undemocratic Political Structures .  Catherine Smith KC …",NEGATIVE
1829229265780650180,RT _ : JD and Trump are bought and paid for by anti - worker billionaires https://t.co/pKxt6FWByO,NEGATIVE
1829229264090128781,"Our Dear Leader ’s wardrobe is now nearly fully stocked .  Unfortunately the donors bought too many suits and glasses but , not enough underwear .  Should any billionaires see this tweet please DM with your offer and any requests .  # KecksForKeir # PassesForArses",NEGATIVE
1829229264027467821,How do tax cuts to billionaires hurt you ? Last time I checked it ’s the government that steals money from your paycheck every 2 weeks not billionaires . In fact billionaires help you . They produce the products you use everyday . They prop up the price of your assets .,NEGATIVE
1829229262018101578,"please remind your aged father about the # KetakiChitale case . And remind him of how he used his power to silence that poor girl ’s criticism of him .  And if he talks about nepotism , remind him of how he got you the position & amp ; power that you ’re enjoying today",NEGATIVE
1829229261066043654,"What parts of his first ten weeks in power have you missed ,   all of it ? He 's ready to fleece the working class . Just you watch",NEGATIVE
1829229257232658515,RT : Also impressive that he went into traditionally VERY hostile territory — a union event in Boston — to pick up more working …,NEGATIVE
1829229255496278478,"If you are not lying , then only these 10k will be taxed . But we all know you lie , a lot . Bernie Sanders used to hate on Millionaires , until he became one , now he yells at Billionaires . See how that works . https://t.co/35rb2ysEzG",NEGATIVE
1829229255106146639,"I 100 % would not have let her back in my class . Talk about neutering a teacher . Get your union involved . They undercut you , your credibility and your leadership in the classroom . Total BS . # FecklessAdministratorsAreTheProblem",NEGATIVE
1829229254586077625,"Teachers say they care about the kids and learning so why ca n't they tell the union , who works for them , to spend a little of the 1.5 billion that 's in the Teachers fund on books and supplies ? If just 10 % was put into a fund for kids it would fix the problem easily .",NEGATIVE
1829229254544109874,I am working class and you are a communist,NEGATIVE
1829229251721142705,Are you talking to the working class ?,NEGATIVE
1829229247464124749,"nothing from a business perspective and comparison with multi million pound football clubs … . but they claim to be like us etc working class , and it ’s supposed to be music for the people etc just stinks imho",NEGATIVE
1829229246310498640,RT : Also impressive that he went into traditionally VERY hostile territory — a union event in Boston — to pick up more working …,NEGATIVE
1829229242057667065,"1 Corinthians 15:58   Therefore , my dear brothers and sisters , stand firm . Let nothing move you . Always give yourselves fully to the work of the Lord , because you know that your labor in the Lord is not in vain .",NEGATIVE
1829229241021665519,I honestly always thought it was worth discussing alone that her sole tie to being middle class was working at McD 's for 8 - 12 weeks . Did n't seem like a gig that was worthy of being in an ad since it was a blip at best .,NEGATIVE
1829229240107327488,"So , outsourcing labor because you fucks defunded firefighting services is ... good ? Are we proud of endangering people we would n't be willing to extend services to if they wanted to live here ? Fuck all the way off . https://t.co/6flTrydwJH",NEGATIVE
1829229240052498493,FALSE . Corporations have all the “ exemptions ” where they pay practically nothing … So do millionaires and billionaires … They pay practically nothing because they have a gazillion “ write offs ” . As the middle class pays their normal 23 % yr after yr .. get your head out of your ass .,NEGATIVE
1829229239176180060,"Just a reminder to the # MAGAMOVEMENT that Kamala Harris is VICE PRESIDENT .   He work should be compared ONLY with that of Mike Pence , you fucking idiots . While you praise # trump I hope your taking account of his pleasure in seeing UNION WORKERS be fired by Elon  # VoteBlue",NEGATIVE
1829229238056100202,Same folks when millionaires and billionaires got their PPE loans forgiven : https://t.co/mIlxUa5pAK,NEGATIVE
1829229233996222786,Stop by and check out Labor Not in Vain ’s review of The Enchanting of Miss Elliot by # book & amp ; enter the # free # giveaway for an autographed copy of The Pursuit of Miss Parish ! # books # amreading  https://t.co/lXUzAdCOGq,NEGATIVE
1829229232641184080,RT : Kamala Harris ’ plan to raise taxes on billionaires is not radical .  What ’s radical is accepting a system where billionaires pa …,NEGATIVE
1829229227499008346,"The only thing I care about with a politician is what they say they support right now . Do you think FDR * liked unions * ? Yet he signed the NLRA , the most important t pro union legislation in IS history . They are all opportunists , push them your way .",NEGATIVE
1829229226328821888,Biden arrested the father of one at the state of the union,NEGATIVE
1829229221740417117,RT : Also impressive that he went into traditionally VERY hostile territory — a union event in Boston — to pick up more working …,NEGATIVE
1829229218808639778,JD Vance booed by firefighters union one day after they welcomed Walz : ‘ Sounds like we got some haters ’ https://t.co/UOXTMvkFbw via,NEGATIVE
1829229214874378315,"Oh so hiring is unfair to men?Lol . Labor intensive = pregnancy , nothing men do is more physically demanding than that . As for manual labor , those jobs are dying out because of mechanization .",NEGATIVE
1829229212567498818,"RT : If the American people strongly support a progressive economic agenda , why has n't it been implemented ?  The answer is si …",NEGATIVE
1829229210868822282,The IAFF never did a damn thing for me . I ’m not sure that union is worth the time . How dare you boob a military serviceman when he goes on stage when a lot of you were in the military you are pathetic I am very happy to speak about .,NEGATIVE
1829229209333706811,"RT : .@JDVance : "" A lot of Democrats call us populists like it 's something on an insult . But if being a populist means being on …",NEGATIVE
